site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
afropari,TCGDR,154.76,65,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,121981218,,,
linebet,JY3DR,155.31,65,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,132669723,,0xFF2E5822,
megapari,HS3DR,154.63,65,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,161193394,,0xFF383838,
sportybet:gh,8TA59J,,75,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,86570176,,0xFFFA0909,
betwinner:ng,DL3DR,154.44,85,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,211416242,,0xFF1A654A,
helabet,3F3DR,155.09,55,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,140993563,,,
22bet,ZA3DR,155.1,55,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,143594166,,0xFF064146,
paripesa,Q7FDR,154.67,85,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,242765920,,0xFF05117E,
1xbet:xx,37FDR,108.56,92,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,255284726,,0xFF0982EC,
sportybet:gh,DDPD58,,92,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,137050835,,0xFFFA0909,
paripesa,25FDR,38.69,80,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,2107177,,0xFF05117E,
1xbet:xx,FCFDR,1611.72,87,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,289233875,,0xFF0982EC,
1xbet:xx,R4FDR,154.47,92,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,67383227,,0xFF0982EC,
betika:et,nb6N2,,92,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,22219938,,,
sportybet:ng,SADRC3,,85,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,122209373,,0xFFFA0909,
1xbet:ng,QLEDR,,65,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,224952748,,0xFF0982EC,
1xbet:xx,EEDDR,1907.42,80,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,9886688,,0xFF0982EC,
1xbet:xx,MQ2DR,1649.39,92,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,66540435,,0xFF0982EC,
sportybet:ng,ZHTHX5,169.59,85,hello@bettingtipsnet.com,premium,09:14:48,2025-08-19,30959254,,0xFFFA0909,
sportybet:ng,WZHNWA,2.82,92,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,117950535,,0xFFFA0909,
sportybet:ng,VK5W6A,3.09,75,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,275985490,,0xFFFA0909,
sportybet:ng,VGQL5Y,38.04,92,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,2480676,,0xFFFA0909,
sportybet:ng,U8GY6M,,80,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,99169199,,0xFFFA0909,
melbet,JXCDR,2.74,75,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,237744219,,0xFF151515,
1xbet:xx,SZCDR,4.36,87,hello@bettingtipsnet.com,free,09:14:48,2025-08-19,39798190,,0xFF0982EC,
