site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
msport,B2DAXVQ,56.19,80,support@bettingtipsnet.com,free,05:58:14,2026-01-19,323230260,,0xFFFFCA26,
sportybet:ng,KGCBC9,1975.49,55,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,325559052,,0xFFFA0909,
1xbet:ng,JGJ13,69523.21,80,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,325957692,,0xFF0982EC,
msport,B2DHUU1,1818.6,85,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,216263227,,0xFFFFCA26,
1xbet:ng,JGJ13,69523.33,87,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,120884869,,0xFF0982EC,
msport,B2DHS8W,23627.25,92,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,61161081,,0xFFFFCA26,
1xbet:ng,C4G9F,22435.14,80,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,117924040,,0xFF0982EC,
1xbet:ng,N75UF,299885.15,75,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,262291295,,0xFF0982EC,
1xbet:ng,4TKUF,69868.95,87,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,7551806,,0xFF0982EC,
1xbet:ng,1NUNF,1433.7,55,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,273803359,,0xFF0982EC,
msport,B2BBXN8,23627.38,92,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,319266563,,0xFFFFCA26,
1xbet:ng,C9JUF,14128.11,85,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,160747210,,0xFF0982EC,
1xbet:ng,JKATF,52358.89,80,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,281555270,,0xFF0982EC,
1xbet:ng,1NUNF,1434.19,87,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,128111214,,0xFF0982EC,
1xbet:ng,UT8SF,5995.02,80,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,201017387,,0xFF0982EC,
msport,B2DA6QH,1121.74,55,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,309245644,,0xFFFFCA26,
sportybet:ng,H46QKH,1330.21,87,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,73941974,,0xFFFA0909,
msport,B2DA6QH,1121.85,87,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,18253392,,0xFFFFCA26,
1xbet:ng,HDU6F,24697.18,85,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,138312312,,0xFF0982EC,
1xbet:ng,NRD6F,51416.03,87,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,291535689,,0xFF0982EC,
bet9ja,804418520,,80,support@bettingtipsnet.com,free,05:58:14,2026-01-19,156635407,,0xFF097E36,
1xbet:ng,JU9QF,51415.99,85,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,308785446,,0xFF0982EC,
1xbet:ng,AMUPF,9501.6,80,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,89960530,,0xFF0982EC,
1xbet:ng,1NUNF,1434.24,65,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,214395017,,0xFF0982EC,
sportybet:ng,WD75ZF,78.52,55,support@bettingtipsnet.com,free,05:58:14,2026-01-19,274509233,,0xFFFA0909,
1xbet:ng,2S3S3,27.66,80,support@bettingtipsnet.com,free,05:58:14,2026-01-19,223464781,,0xFF0982EC,
sportybet:ng,WD75ZF,78.83,70,support@bettingtipsnet.com,free,05:58:14,2026-01-19,38234453,,0xFFFA0909,
1xbet:ng,7Z9MF,4241.53,70,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,69670465,,0xFF0982EC,
1xbet:ng,USTMF,522112.29,75,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,231101024,,0xFF0982EC,
1xbet:ng,BC5MF,824327.66,80,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,271727505,,0xFF0982EC,
1xbet:ng,KYJLF,437.98,55,support@bettingtipsnet.com,free,05:58:14,2026-01-19,66220703,,0xFF0982EC,
msport,B2B5R98,83.02,65,support@bettingtipsnet.com,free,05:58:14,2026-01-19,181548299,,0xFFFFCA26,
sportybet:za,3KV6BD,613.71,80,support@bettingtipsnet.com,free,05:58:14,2026-01-19,234228217,,0xFFFA0909,
bet9ja,3692744837,,92,support@bettingtipsnet.com,free,05:58:14,2026-01-19,104261552,,0xFF097E36,
sportybet:za,3nms9p,221.19,65,support@bettingtipsnet.com,free,05:58:14,2026-01-19,167910671,,0xFFFA0909,
sportybet:gh,3nms9p,222.53,87,support@bettingtipsnet.com,free,05:58:14,2026-01-19,295631465,,0xFFFA0909,
bet9ja,4209295024,,80,support@bettingtipsnet.com,free,05:58:14,2026-01-19,226748266,,0xFF097E36,
football,N6S3MW,441273356.19,65,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,79162422,,,
football,N6S3MW,441273356.7,85,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,122793632,,,
1xbet:ng,CHUR3,530099.32,80,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,250831786,,0xFF0982EC,
sportybet:ng,N6S3MW,412303791.22,92,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,300618252,,0xFFFA0909,
football,N6S3MW,441273356.14,92,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,269114541,,,
football,N6S3MW,388288789.67,85,support@bettingtipsnet.com,premium,05:58:14,2026-01-19,50642604,,,
msport,B2B5R98,82.99,55,support@bettingtipsnet.com,free,05:58:14,2026-01-19,226315210,,0xFFFFCA26,
sportybet:ng,WD75ZF,79.74,55,support@bettingtipsnet.com,free,05:58:14,2026-01-19,75459077,,0xFFFA0909,
sportybet:gh,D410UD,166.25,75,support@bettingtipsnet.com,free,05:58:14,2026-01-19,166588559,,0xFFFA0909,
sportybet:ng,MC06CK,2.84,87,support@bettingtipsnet.com,free,05:58:14,2026-01-19,278147041,,0xFFFA0909,
