site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
1xbet:xx,THKVR,63.01,80,support@bettingtipsnet.com,free,15:17:50,2025-08-20,327539748,,0xFF0982EC,
afropari,3bm8r,10315.36,70,support@bettingtipsnet.com,premium,15:17:50,2025-08-20,53664080,,,
xparibet,EPRAS,2295.48,75,support@bettingtipsnet.com,premium,15:17:50,2025-08-20,323896197,,,
bet9ja,3BNB5V6,191.36,85,support@bettingtipsnet.com,free,15:17:50,2025-08-20,139487173,,0xFF097E36,
bet9ja,1545558446,,92,support@bettingtipsnet.com,free,15:17:50,2025-08-20,174053345,,0xFF097E36,
betway:ng,U1FAC24D1,1.97,87,support@bettingtipsnet.com,free,15:17:50,2025-08-20,41840678,,0xFF000000,
sportybet:ng,MF5Z0V,102.2,80,support@bettingtipsnet.com,free,15:17:50,2025-08-20,126188521,,0xFFFA0909,
betika:ke,pA472W,26.35,65,support@bettingtipsnet.com,free,15:17:50,2025-08-20,165542153,,,
sportybet:ng,MF5Z0V,103.76,80,support@bettingtipsnet.com,free,15:17:50,2025-08-20,328433670,,0xFFFA0909,
xparibet,EPRAS,2296.41,85,support@bettingtipsnet.com,premium,15:17:50,2025-08-20,314197413,,,
betwinner:ng,P72AS,11.1,92,support@bettingtipsnet.com,free,15:17:50,2025-08-20,113496387,,0xFF1A654A,
sportybet:ng,MF5Z0V,102.4,80,support@bettingtipsnet.com,free,15:17:50,2025-08-20,75075264,,0xFFFA0909,
paripesa,ZS1CS,46.23,75,support@bettingtipsnet.com,free,15:17:50,2025-08-20,49761229,,0xFF05117E,
paripesa,39GYR,107.87,75,support@bettingtipsnet.com,free,15:17:50,2025-08-20,281189994,,0xFF05117E,
1xbet:ng,HZBCS,140.67,85,support@bettingtipsnet.com,free,15:17:50,2025-08-20,116632222,,0xFF0982EC,
paripulse:ng,M8KBS,512.77,80,support@bettingtipsnet.com,free,15:17:50,2025-08-20,28540107,,,
1xbet:cm,KYRAS,2.67,92,support@bettingtipsnet.com,free,15:17:50,2025-08-20,87748967,,0xFF0982EC,
paripulse:ng,63LBS,45.99,55,support@bettingtipsnet.com,free,15:17:50,2025-08-20,262169483,,,
paripesa,39GYR,107.46,70,support@bettingtipsnet.com,free,15:17:50,2025-08-20,277576292,,0xFF05117E,
afropari,E1bxr,2.78,85,support@bettingtipsnet.com,free,15:17:50,2025-08-20,50667634,,,
bet9ja,3105076387,,87,support@bettingtipsnet.com,free,15:17:50,2025-08-20,320058913,,0xFF097E36,
bet9ja,3BPLNRH,380.54,55,support@bettingtipsnet.com,free,15:17:50,2025-08-20,250541080,,0xFF097E36,
