site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
sportybet:ng,W3T7Y3,5.93,55,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,119363172,,0xFFFA0909,
1xbet:xx,T38F6,906711.25,85,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,257435113,,0xFF0982EC,
1xbet:xx,UB8F6,120.58,70,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,72984473,,0xFF0982EC,
sportybet:ng,QQ6WTA,17611.73,70,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,136372263,,0xFFFA0909,
betking:ng,K23N2,6.38,85,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,114975915,,0xFF1D1592,
1xbet:xx,8Q7F6,542754.07,75,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,258482737,,0xFF0982EC,
sportybet:tz,6NDGHA,336.57,85,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,209409897,,0xFFFA0909,
1xbet:xx,16VF6,32,80,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,289003725,,0xFF0982EC,
1xbet:xx,7QNE6,1261.39,87,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,308246109,,0xFF0982EC,
melbet,SDRF6,50.51,65,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,81741693,,0xFF151515,
melbet,72RF6,50.99,85,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,46878801,,0xFF151515,
betika:ke,qdNK2N,141442.86,80,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,122120981,,,
1xbet:xx,56MF6,144568.25,80,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,234158347,,0xFF0982EC,
1xbet:xx,UPMF6,6.17,87,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,204881763,,0xFF0982EC,
1xbet:xx,XVBF6,7.49,80,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,119133793,,0xFF0982EC,
1xbet:ug,TFHF6,4.96,65,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,87442916,,0xFF0982EC,
1xbet:xx,K3MF6,3.03,85,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,242240877,,0xFF0982EC,
sportybet:gh,9ZEVCR,17611.52,80,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,300532439,,0xFFFA0909,
betking:ng,E9S93,257.52,80,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,50812950,,0xFF1D1592,
1xbet:gh,AUGF6,4.64,80,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,2874035,,0xFF0982EC,
1xbet:xx,9QBF6,18.59,92,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,7113468,,0xFF0982EC,
1xbet:cm,77HF6,3.59,85,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,236736054,,0xFF0982EC,
sportybet:ng,T0J5U0,325.31,65,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,14870608,,0xFFFA0909,
sportybet:ng,HB9V7V,188.99,75,hello@bettingtipsnet.com,premium,08:14:04,2025-06-06,307407328,,0xFFFA0909,
1xbet:bj,BUAF6,3.61,70,hello@bettingtipsnet.com,free,08:14:04,2025-06-06,130815596,,0xFF0982EC,
