site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
1xbet:ng,ZALPP,221.94,85,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,179521099,,0xFF0982EC,
sportybet:ng,JDZS5T,111.59,92,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,19778914,,0xFFFA0909,
melbet,D5JPP,27.82,75,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,277828682,,0xFF151515,
1xbet:ng,PL4PP,35.87,65,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,45470745,,0xFF0982EC,
1xbet:xx,BP5NP,251341.89,87,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,22544387,,0xFF0982EC,
betpawa,W9VZMNO,8.66,80,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,150675107,,,
sportybet:ng,ZJ25DM,153,75,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,17841658,,0xFFFA0909,
1xbet:bf,GVEPP,221.26,92,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,83629902,,0xFF0982EC,
betika:ke,bSUHsZ,22279.07,92,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,313513575,,,
msport,B2N24ZC,21.1,87,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,162039831,,0xFFFFCA26,
1xbet:xx,Z3BPP,5.36,87,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,11854857,,0xFF0982EC,
betway:ng,U1FABAEF7,202.23,87,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,129430298,,0xFF000000,
betika:ke,H19RZR,202.39,65,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,66156645,,,
betwinner:ng,8LZNP,2.2,92,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,226964548,,0xFF1A654A,
betika:ke,XnN4W3,242434.44,87,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,308387832,,,
betika:ke,k1k4WU,126596.03,80,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,153820578,,,
betika:ke,GJFSVh,7266.87,92,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,16879022,,,
sportybet:ng,NSPZKX,3.26,80,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,107179566,,0xFFFA0909,
bet9ja,32SRHX2,126596.04,75,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,137488996,,0xFF097E36,
sportybet:ng,GN7DBR,22642.83,92,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,134778900,,0xFFFA0909,
betking:ng,CUT1Y,11.44,85,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,81281332,,0xFF1D1592,
1xbet:ng,VCGNP,3.9,87,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,288207786,,0xFF0982EC,
1xbet:ng,GADNP,2.02,80,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,312337978,,0xFF0982EC,
sportybet:ng,VDWUVS,2.97,80,hello@bettingtipsnet.com,free,08:45:05,2025-06-02,90826309,,0xFFFA0909,
bet9ja,32SR8LZ,444.88,85,hello@bettingtipsnet.com,premium,08:45:05,2025-06-02,131156014,,0xFF097E36,
