site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
,🔥 22+,2,92,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,195427752,,"{
    ""data"": {
        ""sites"": [
            {
                ""site"": ""bet9ja"",
                ""img"": ""0xFF097E36""
            },
            {
                ""site"": ""betking:ng"",
                ""img"": ""0xFF1D1592""
            },
            {
                ""site"": ""1xbet:ng"",
                ""img"": ""0xFF0982EC""
            },
            {
                ""site"": ""sportybet:ng"",
                ""img"": ""0xFFFA0909""
            },
            {
                ""site"": ""22bet:ng"",
                ""img"": ""0xFF064146""
            },
            {
                ""site"": ""betwinner"",
                ""img"": ""0xFF1A654A""
            },
            {
                ""site"": ""paripesa"",
                ""img"": ""0xFF05117E""
            },
            {
                ""site"": ""megapari"",
                ""img"": ""0xFF383838""
            },
            {
                ""site"": ""melbet"",
                ""img"": ""0xFF151515""
            },
            {
                ""site"": ""msport"",
                ""img"": ""0xFFFFCA26""
            },
            {
                ""site"": ""linebet"",
                ""img"": ""0xFF2E5822""
            },
            {
                ""site"": ""betway"",
                ""img"": ""0xFF000000""
            },
            {
                ""site"": ""db_bet"",
                ""img"": ""0xFFFF5275""
            }
        ]
    }
}",
,🔥 19+,2.61,80,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,29443336,,"{
    ""data"": {
        ""sites"": [
            {
                ""site"": ""bet9ja"",
                ""img"": ""0xFF097E36""
            },
            {
                ""site"": ""betking:ng"",
                ""img"": ""0xFF1D1592""
            },
            {
                ""site"": ""1xbet:ng"",
                ""img"": ""0xFF0982EC""
            },
            {
                ""site"": ""sportybet:ng"",
                ""img"": ""0xFFFA0909""
            },
            {
                ""site"": ""22bet:ng"",
                ""img"": ""0xFF064146""
            },
            {
                ""site"": ""betwinner"",
                ""img"": ""0xFF1A654A""
            },
            {
                ""site"": ""paripesa"",
                ""img"": ""0xFF05117E""
            },
            {
                ""site"": ""megapari"",
                ""img"": ""0xFF383838""
            },
            {
                ""site"": ""melbet"",
                ""img"": ""0xFF151515""
            },
            {
                ""site"": ""msport"",
                ""img"": ""0xFFFFCA26""
            },
            {
                ""site"": ""linebet"",
                ""img"": ""0xFF2E5822""
            },
            {
                ""site"": ""betway"",
                ""img"": ""0xFF000000""
            },
            {
                ""site"": ""db_bet"",
                ""img"": ""0xFFFF5275""
            }
        ]
    }
}",
betpawa,5YDHI9F,11254.7,92,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,282777477,,,
sportybet:ng,ZJ004B,12.35,75,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,131145110,,0xFFFA0909,
bet9ja,53XCSZP,5.43,87,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,82664818,,0xFF097E36,
1xbet:ng,2YVYP,5654.97,85,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,74770844,,0xFF0982EC,
sportybet:ng,LP241E,39.71,65,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,300316872,,0xFFFA0909,
betpawa,ZAW97US,339.63,80,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,93730048,,,
afropari,YT2YP,5122.77,55,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,277263576,,,
afropari,YT2YP,1427.29,80,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,722328,,,
1xbet:ng,Z62YP,5122.33,87,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,250032718,,0xFF0982EC,
22bet,GZ1YP,32.98,92,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,243436474,,0xFF064146,
1xbet:zm,QNZ8P,1739.63,55,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,264037664,,0xFF0982EC,
sportybet:ng,Q12XTX,11.2,75,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,143824067,,0xFFFA0909,
1xbet:xx,R4Y8P,166.99,65,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,313620952,,0xFF0982EC,
sportybet:ng,NWXVJZ,3.7,87,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,69922165,,0xFFFA0909,
1xbet:xx,53T8P,24.76,87,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,99531275,,0xFF0982EC,
melbet,P1T8P,5276.4,55,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,165232489,,0xFF151515,
melbet,P1T8P,1739.6,85,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,163184922,,0xFF151515,
1xbet:ng,XZS8P,3854.19,80,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,10941114,,0xFF0982EC,
sportybet:ng,ZYPCAZ,5275.66,80,hello@bettingtipsnet.com,premium,06:43:28,2026-02-25,171909076,,0xFFFA0909,
sportybet:ng,ZJ004B,12.53,85,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,314730564,,0xFFFA0909,
1xbet:ng,8RM8P,12.24,75,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,166922141,,0xFF0982EC,
1xbet:xx,3X48P,4.98,92,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,81931234,,0xFF0982EC,
1xbet:xx,T348P,68.97,80,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,62320371,,0xFF0982EC,
1xbet:bj,MQD8P,12.48,85,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,69048139,,0xFF0982EC,
1xbet:bj,D39XP,2.45,92,hello@bettingtipsnet.com,free,06:43:28,2026-02-25,203491673,,0xFF0982EC,
