site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
1xbet:ng,NXYL9,37.22,92,support@bettingtipsnet.com,free,08:44:12,2025-12-08,114167742,,0xFF0982EC,
betway:tz,BW27824E24,13.69,80,support@bettingtipsnet.com,free,08:44:12,2025-12-08,233484108,,0xFF000000,
1xbet:ng,VT8L9,13.95,87,support@bettingtipsnet.com,free,08:44:12,2025-12-08,200886414,,0xFF0982EC,
betway:tz,BW27824E24,14.54,80,support@bettingtipsnet.com,free,08:44:12,2025-12-08,209593201,,0xFF000000,
bet9ja,3RYV7XL,2639.48,55,support@bettingtipsnet.com,premium,08:44:12,2025-12-08,209832850,,0xFF097E36,
helabet,TX8K9,80.91,85,support@bettingtipsnet.com,free,08:44:12,2025-12-08,63170697,,,
sportybet:ng,JVV7R9,2.93,92,support@bettingtipsnet.com,free,08:44:12,2025-12-08,81153857,,0xFFFA0909,
afropari,CGSL9,2.58,87,support@bettingtipsnet.com,free,08:44:12,2025-12-08,164195623,,,
1xbet:ng,84SL9,2.85,65,support@bettingtipsnet.com,free,08:44:12,2025-12-08,306166632,,0xFF0982EC,
afropari,CGSL9,2.73,87,support@bettingtipsnet.com,free,08:44:12,2025-12-08,262863731,,,
sportybet:gh,E333B8,605.05,87,support@bettingtipsnet.com,free,08:44:12,2025-12-08,179990679,,0xFFFA0909,
bet9ja,3185834883,,80,support@bettingtipsnet.com,free,08:44:12,2025-12-08,299063435,,0xFF097E36,
bet9ja,3RYSRWL,2.53,70,support@bettingtipsnet.com,free,08:44:12,2025-12-08,71122235,,0xFF097E36,
msport,B2L4AAX,19498.06,87,support@bettingtipsnet.com,premium,08:44:12,2025-12-08,121789534,,0xFFFFCA26,
megapari,T47K9,3.17,87,support@bettingtipsnet.com,free,08:44:12,2025-12-08,265813054,,0xFF383838,
betway:gh,BW277EAA41,10.76,92,support@bettingtipsnet.com,free,08:44:12,2025-12-08,230456069,,0xFF000000,
paripesa,UF2L9,8008.97,65,support@bettingtipsnet.com,premium,08:44:12,2025-12-08,44287312,,0xFF05117E,
sportybet:ng,T2X604,1293425.19,92,support@bettingtipsnet.com,premium,08:44:12,2025-12-08,84482151,,0xFFFA0909,
luckypari,XDXK9,62.54,85,support@bettingtipsnet.com,free,08:44:12,2025-12-08,135502180,,,
1xbet:ng,G3849,16710343.36,85,support@bettingtipsnet.com,premium,08:44:12,2025-12-08,99433306,,0xFF0982EC,
football,X722FDBE,471.72,87,support@bettingtipsnet.com,free,08:44:12,2025-12-08,106266022,,,
