site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
1xbet:ng,B2M3K,3.33,92,support@bettingtipsnet.com,free,21:51:09,2025-05-22,114222000,,0xFF0982EC,
1xbet:ng,B2M3K,2.71,92,support@bettingtipsnet.com,free,21:51:09,2025-05-22,36386087,,0xFF0982EC,
1xbet:ng,AGK3K,4.7,87,support@bettingtipsnet.com,free,21:51:09,2025-05-22,127484614,,0xFF0982EC,
1xbet:ng,AGK3K,5.31,75,support@bettingtipsnet.com,free,21:51:09,2025-05-22,250641737,,0xFF0982EC,
DB,tbxak,2.2,87,support@bettingtipsnet.com,free,21:51:09,2025-05-22,101839902,,,
bet9ja,ZV6Z85,3.14,70,support@bettingtipsnet.com,free,21:51:09,2025-05-22,29283211,,0xFF097E36,
paripesa,Y8HFK,39142.91,80,support@bettingtipsnet.com,free,21:51:09,2025-05-22,265077273,,,
melbet,y14bk,4.1,87,support@bettingtipsnet.com,free,21:51:09,2025-05-22,127262915,,,
msport,B3SUW7D,3.59,55,support@bettingtipsnet.com,free,21:51:09,2025-05-22,177699211,,,
sportybet:ng,WK155U,848.27,85,support@bettingtipsnet.com,free,21:51:09,2025-05-22,131951039,,0xFFFA0909,
22bet,QA13K,2.66,80,support@bettingtipsnet.com,free,21:51:09,2025-05-22,106030849,,0xFFFF6802,
paripesa,aedek,1.69,75,support@bettingtipsnet.com,free,21:51:09,2025-05-22,51607487,,,
betway:za,BW20AD258,18.7,55,support@bettingtipsnet.com,free,21:51:09,2025-05-22,7150665,,,
1xbet:ng,2ATEK,2.77,70,support@bettingtipsnet.com,free,21:51:09,2025-05-22,202425417,,0xFF0982EC,
fansport,ZT7FK,3.56,87,support@bettingtipsnet.com,free,21:51:09,2025-05-22,49173297,,,
22bet,2L82K,1.99,87,support@bettingtipsnet.com,free,21:51:09,2025-05-22,29307291,,0xFFFF6802,
sportybet:ng,Tdayya,70.47,85,support@bettingtipsnet.com,free,21:51:09,2025-05-22,54824733,,0xFFFA0909,
paripesa,Z9E3K,3.44,75,support@bettingtipsnet.com,free,21:51:09,2025-05-22,289897480,,,
betwinner:ng,9TBEK,603.12,87,support@bettingtipsnet.com,free,21:51:09,2025-05-22,297809805,,,
sportybet:ng,Kxbtzv,1954.81,87,support@bettingtipsnet.com,free,21:51:09,2025-05-22,210904728,,0xFFFA0909,
sportybet:gh,B0H1HE,2.84,85,support@bettingtipsnet.com,free,21:51:09,2025-05-22,87727382,,0xFFFA0909,
msport,B2WPT18,4231.36,87,support@bettingtipsnet.com,free,21:51:09,2025-05-22,116802950,,,
sportybet:gh,AQZC23,69.34,80,support@bettingtipsnet.com,free,21:51:09,2025-05-22,312334481,,0xFFFA0909,
bet9ja,Zv29gb,787.94,85,support@bettingtipsnet.com,free,21:51:09,2025-05-22,61256327,,0xFF097E36,
melbet,PQQFK,115.37,80,support@bettingtipsnet.com,free,21:51:09,2025-05-22,275275080,,,
melbet,FFTDK,107.41,85,support@bettingtipsnet.com,free,21:51:15,2025-05-22,277833558,,,
1xbet:ng,G5JFK,158.88,92,support@bettingtipsnet.com,free,21:51:15,2025-05-22,112352344,,0xFF0982EC,
bet9ja,ZTDK3D,91.38,87,support@bettingtipsnet.com,free,21:51:15,2025-05-22,178064285,,0xFF097E36,
melbet,E8H2K,20.8,55,support@bettingtipsnet.com,free,21:51:15,2025-05-22,190928623,,,
1xbet:ng,ZYDFK,8.78,80,support@bettingtipsnet.com,free,21:51:15,2025-05-22,177348787,,0xFF0982EC,
bet9ja,ZTFD8N,16.33,92,support@bettingtipsnet.com,free,21:51:15,2025-05-22,157763677,,0xFF097E36,
1xbet:ng,SZYEK,3.17,92,support@bettingtipsnet.com,free,21:51:15,2025-05-22,40209712,,0xFF0982EC,
DB,TL6EK,39.06,92,support@bettingtipsnet.com,free,21:51:15,2025-05-22,232931524,,,
1xbet:ng,SZYEK,2.77,87,support@bettingtipsnet.com,free,21:51:15,2025-05-22,214267898,,0xFF0982EC,
1xbet:ng,Z2Z2K,199.4,92,support@bettingtipsnet.com,free,21:51:15,2025-05-22,323175592,,0xFF0982EC,
melbet,5LDFK,3.16,80,support@bettingtipsnet.com,free,21:51:15,2025-05-22,268485342,,,
1xbet:ng,G5JFK,158.67,85,support@bettingtipsnet.com,free,21:51:15,2025-05-22,283109248,,0xFF0982EC,
msport,B2WQHUH,171.42,70,support@bettingtipsnet.com,free,21:51:15,2025-05-22,120815947,,,
1xbet:ng,DXR94,21.43,85,support@bettingtipsnet.com,free,21:51:15,2025-05-22,64543407,,0xFF0982EC,
1xbet:ng,J6SBK,17.1,92,support@bettingtipsnet.com,free,21:51:15,2025-05-22,172589318,,0xFF0982EC,
1xbet:ng,Fpbek,23.99,87,support@bettingtipsnet.com,free,21:51:15,2025-05-22,196121325,,0xFF0982EC,
sportybet:ng,ME4U5X,729.72,85,support@bettingtipsnet.com,free,21:51:15,2025-05-22,4850901,,0xFFFA0909,
megapari,38QDK,6.26,65,support@bettingtipsnet.com,free,21:51:15,2025-05-22,321044045,,,
msport,B2WFXV1,1749.09,55,support@bettingtipsnet.com,free,21:51:15,2025-05-22,215415306,,,
DB,JQTEK,752.24,87,support@bettingtipsnet.com,free,21:51:15,2025-05-22,204986068,,,
1xbet:ng,A86EK,32.2,87,support@bettingtipsnet.com,free,21:51:15,2025-05-22,235066367,,0xFF0982EC,
sportybet:ng,VLL952,10174.74,75,support@bettingtipsnet.com,free,21:51:15,2025-05-22,291557256,,0xFFFA0909,
sportybet:ng,Xm4rn1,146022.18,87,support@bettingtipsnet.com,free,21:51:15,2025-05-22,26406261,,0xFFFA0909,
betwinner:ng,9TBEK,603.25,80,support@bettingtipsnet.com,free,21:51:15,2025-05-22,186723817,,,
paripesa,881dk,2.79,87,support@bettingtipsnet.com,free,21:51:15,2025-05-22,197893968,,,
