site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
1xbet:ng,XFRXM,2.95,75,hello@bettingtipsnet.com,free,05:33:30,2026-01-26,53857726,,0xFF0982EC,
1xbet:xx,XFRXM,2.41,80,hello@bettingtipsnet.com,free,05:33:30,2026-01-26,218052705,,0xFF0982EC,
sportybet:ng,LNTEV4,2.31,85,hello@bettingtipsnet.com,free,05:33:30,2026-01-26,213048252,,0xFFFA0909,
sportybet:ng,Q7CB15,,80,hello@bettingtipsnet.com,free,05:33:30,2026-01-26,263337378,,0xFFFA0909,
sportybet:ng,JJLA8V,35233.83,92,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,105405573,,0xFFFA0909,
sportybet:ng,JUD6P0,3176.64,85,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,307329962,,0xFFFA0909,
sportybet:ng,JUD6P0,161.06,65,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,254661391,,0xFFFA0909,
betika:ke,3H7c5M,3176.8,85,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,91892469,,,
1xbet:xx,RFMUM,138.8,80,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,279379625,,0xFF0982EC,
1xbet:xx,PNHXM,139.2,87,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,331138263,,0xFF0982EC,
sportybet:ng,GZYY5M,1.31,87,hello@bettingtipsnet.com,free,05:33:30,2026-01-26,229699891,,0xFFFA0909,
1xbet:xx,61R7M,562.79,92,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,238949792,,0xFF0982EC,
sportybet:ng,HGGR9J,271.2,85,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,298674683,,0xFFFA0909,
1xbet:xx,6Z6VM,293.12,80,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,96079655,,0xFF0982EC,
1xbet:xx,6Z6VM,272.95,87,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,24465355,,0xFF0982EC,
888starz,S2GXM,134.93,70,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,225931499,,,
1xbet:xx,TCGXM,362,80,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,97212678,,0xFF0982EC,
melbet,LPEXM,134.5,70,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,180650893,,0xFF151515,
sportybet:ng,RW9BXX,,80,hello@bettingtipsnet.com,free,05:33:30,2026-01-26,201833118,,0xFFFA0909,
melbet,UPCXM,122.29,75,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,65167056,,0xFF151515,
sportybet:ng,W6R4QR,,80,hello@bettingtipsnet.com,free,05:33:30,2026-01-26,90202649,,0xFFFA0909,
sportybet:ng,MCNW0S,365.9,85,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,16835105,,0xFFFA0909,
sportybet:ng,MCNW0S,6.77,70,hello@bettingtipsnet.com,free,05:33:30,2026-01-26,309813549,,0xFFFA0909,
betika:ke,QXUNSL,366.16,87,hello@bettingtipsnet.com,premium,05:33:30,2026-01-26,287313766,,,
sportybet:ng,SCT4JA,82.96,55,hello@bettingtipsnet.com,free,05:33:30,2026-01-26,157935561,,0xFFFA0909,
